id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
420,8040-SWL-400,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-SWL.pdf,High Productivity Seawater RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,2.18,0.0522,41.76245210727969,99.86,99.8,Cross-flow,55,0.55,,,25.61,CP calculated assuming kf = 100,1.47,,,,,,8
421,4040-HRLE,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-HRLE.pdf,"High Rejection, Low Energy Brackish Water RO Elements",2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,4.86,0.1936,25.10330578512397,99.54,99.3,Cross-flow,10.3,0.0257,,,1.13,CP calculated assuming kf = 100,1.52,,,,,,8
422,4040-ULE,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-ULE.pdf,Ultra-Low Energy Brackish Water RO Elements,2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,7.29,0.4003,18.21134149387959,99.34,98.8,Cross-flow,10.3,0.0257,,,1.12,CP calculated assuming kf = 100,1.82,,,,,,8
423,4040-XRLE,https://www.microdyn-nadir.com/wp-content/uploads/MICRODYN-RO-XRLE.pdf,"Highest Rejection, Low Energy Brackish Water RO Elements",2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,4.4,0.0912,48.24561403508772,99.76,99.65,Cross-flow,10.3,0.0257,,,1.14,CP calculated assuming kf = 100,1.46,,,,,,8
424,TRISEP 8040-SB50-TSA,https://www.microdyn-nadir.com/wp-content/uploads/SB50.pdf,Cellulose Acetate (CA) RO Elements,2021,Microdyn-Nadir,Asymmetric,,Cellulose acetate,,No modification,,,No,1.54,1.1383,1.3528946674866027,97.32,96,Cross-flow,29,0.0342,,,1.46,CP calculated assuming kf = 100,1.51,,,,,,5.5
425,TRISEP WT 8040-RO-31-FG,https://www.microdyn-nadir.com/wp-content/uploads/TRISEP-WT-8040-RO-31-FG.pdf,Warm Temperature RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,3.42,0.1441,23.73351839000694,99.68,99.5,Cross-flow,15.5,0.0342,,,1.51,CP calculated assuming kf = 100,1.57,,,,,,8
426,TRISEP 8040-ACM2-TSA,https://www.microdyn-nadir.com/wp-content/uploads/ACM2.pdf,High Rejection Brackish Water RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,3.44,0.1444,23.82271468144044,99.68,99.5,Cross-flow,15.5,0.0342,,,1.51,CP calculated assuming kf = 100,1.57,,,,,,8
427,TRISEP 8040-ACM3-TSA,https://www.microdyn-nadir.com/wp-content/uploads/ACM3.pdf,Low Energy Brackish Water RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,3.94,0.2162,18.22386679000925,99.58,99.3,Cross-flow,15.5,0.0342,,,1.51,CP calculated assuming kf = 100,1.67,,,,,,8
428,TRISEP 8040-ACM4-TSA,https://www.microdyn-nadir.com/wp-content/uploads/ACM4.pdf,Low Energy Brackish Water RO Elements,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,5.43,0.2428,22.364085667215814,99.64,99.3,Cross-flow,15.5,0.0342,,,1.51,CP calculated assuming kf = 100,1.97,,,,,,8
429,TRISEP 8040-ACM5-TSFN,https://www.microdyn-nadir.com/wp-content/uploads/ACM5-Drinking-Water.pdf,NSF Certified Elements for Drinking Water Applications,2020,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,7.18,0.4845,14.819401444788442,99.13,98.5,Cross-flow,10.3,0.0342,,,1.5,CP calculated assuming kf = 100,1.74,,,,,,8
430,TRISEP 8040-ACMX-TSFN,https://www.microdyn-nadir.com/wp-content/uploads/ACMX-Drinking-Water.pdf,NSF Certified Elements for Drinking Water Applications,2021,Microdyn-Nadir,Polymeric TFC,,Polyamide,,No modification,,,No,7.75,0.6113,12.67789955831834,98.76,98,Cross-flow,6.9,0.008,,,0.37,CP calculated assuming kf = 100,1.63,,,,,,8
431,TRISEP 8040-SB20-TSA,https://www.microdyn-nadir.com/wp-content/uploads/SB20.pdf,Cellulose Acetate (CA) RO Elements,2020,Microdyn-Nadir,Asymmetric,,Cellulose acetate,,No modification,,,No,1.26,0.4936,2.5526742301458674,98.57,98,Cross-flow,29,0.0342,,,1.49,CP calculated assuming kf = 100,1.4,,,,,,5.5
432,TRISEP 8040-O3E6R1,https://www.microdyn-nadir.com/wp-content/uploads/8040-O3E6R1.pdf,Cellulose Acetate (CA) NF Elements,2021,Microdyn-Nadir,Asymmetric,,Cellulose acetate,,No modification,,,No,3.09,4.8557,0.636365508577548,89.59,85,Cross-flow,12.5,0.0342,,,1.29,CP calculated assuming kf = 100,1.44,,,,,,5.5
433,TRISEP 8040-O1G8R1,https://www.microdyn-nadir.com/wp-content/uploads/8040-O1G8R1.pdf,Cellulose Acetate (CA) RO Elements,2021,Microdyn-Nadir,Asymmetric,,Cellulose acetate,,No modification,,,No,1.26,0.4936,2.5526742301458674,98.57,98,Cross-flow,29,0.0342,,,1.49,CP calculated assuming kf = 100,1.4,,,,,,5.5
434,TRISEP 8040-SB90-TSA,https://www.microdyn-nadir.com/wp-content/uploads/SB90.pdf,Cellulose Acetate (CA) NF Elements,2021,Microdyn-Nadir,Asymmetric,,Cellulose acetate,,No modification,,,No,3.09,4.8557,0.636365508577548,89.59,85,Cross-flow,15.5,0.0342,,,1.29,CP calculated assuming kf = 100,1.44,,,,,,5.5
435,SWC6-LD,https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC6-LD.pdf,Hydraunautics SWC6-LD,2021,Hydranautics – A Nitto Group Company,Polymeric TFC,,Polyamide,,No modification,,,No,3.04,0.0792,38.38383838383838,99.69,99.6,Cross-flow,41.37,0.5476,,,25.59,CP calculated assuming kf = 100,1.29,,,,,37200,7
436,SWC6-MAX,https://membranes.com/wp-content/uploads/Documents/Element-Specification-Sheets/RO/SWC/SWC6-MAX.pdf,Hydraunautics SWC6-MAX,2019,Hydranautics – A Nitto Group Company,Polymeric TFC,,Polyamide,,No modification,,,No,3.05,0.0793,38.46153846153846,99.6,99.69,Cross-flow,41.37,0.5476,,,25.59,CP calculated assuming kf = 100,1.29,,,,,40900,7
439,TM810V,https://www.water.toray/products/ro/pdf/TM800V_v0_202104.pdf,Toray RO TM800V,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,2.1,0.0516,40.697674418604656,99.86,99.8,Cross-flow,55.15,0.5476,,,25.64,CP calculated assuming kf = 100,1.45,,,,,8000,7
440,TM820V-400,https://www.water.toray/products/ro/pdf/TM800V_v0_202104.pdf,Toray RO TM800V,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,2.19,0.0524,41.79389312977099,99.86,99.8,Cross-flow,55.15,0.5476,,,25.64,CP calculated assuming kf = 100,1.47,,,,,37000,7
441,TM820V-440,https://www.water.toray/products/ro/pdf/TM800V_v0_202104.pdf,Toray RO TM800V,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,2.16,0.0522,41.37931034482759,99.86,99.8,Cross-flow,55.15,0.5476,,,25.64,CP calculated assuming kf = 100,1.46,,,,,41000,7
442,TSW-400LE,https://www.water.toray/products/ro/pdf/TSWLE_v0_202104.pdf,Toray RO TSW-LE,2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,3.15,0.0803,39.22789539227895,99.69,99.6,Cross-flow,41.37,0.5476,,,25.59,CP calculated assuming kf = 100,1.3,,,,,37000,7
448,TMG20D-440,https://www.water.toray/products/ro/pdf/TMGD_v0_202104.pdf,Toray RO TMG(D),2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,6.54,0.0923,70.9,99.82,99.7,Cross-flow,10.34,0.03422,,,1.51,CP calculated assuming kf = 100,1.67,,,,,370000,7
449,TMH10A,https://www.water.toray/products/ro/pdf/TMHA(C)_v0_202104.pdf,Toray RO TMHA(C),2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,7.54,0.0888,84.90990990990991,99.81,99.7,Cross-flow,6.89,0.008556,,,0.38,CP calculated assuming kf = 100,1.61,,,,,80000,7
450,TMH20A-400C,https://www.water.toray/products/ro/pdf/TMHA(C)_v0_202104.pdf,Toray RO TMHA(C),2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,7.45,0.0882,84.4671201814059,99.81,99.7,Cross-flow,6.89,0.008556,,,0.38,CP calculated assuming kf = 100,1.6,,,,,370000,7
451,TMH20A-440C,https://www.water.toray/products/ro/pdf/TMHA(C)_v0_202104.pdf,Toray RO TMHA(C),2021,Toray,Polymeric TFC,,Polyamide,,No modification,,,No,7.38,0.0878,84.05466970387243,99.81,99.7,Cross-flow,6.89,0.008556,,,0.38,CP calculated assuming kf = 100,1.59,,,,,410000,7
452,1% CTA/CA-RO,10.1002/pen.25517,Effect of cellulose acetate/cellulose triacetate ratio on reverse osmosis blend membrane performance,2020,Elkony,Asymmetric,,Cellulose acetate,,Synthesis: additives,,FTIR;SEM;AFM,No,0.75,0.22,3.409090909090909,90.87,90.69,Cross-flow,10,0.17,,,7,CP calculated assuming kf = 100,1.02,,,49.4,,42,7
453,2.5% CTA/CA-RO,10.1002/pen.25517,Effect of cellulose acetate/cellulose triacetate ratio on reverse osmosis blend membrane performance,2020,Elkony,Asymmetric,,Cellulose acetate,,Synthesis: additives,,FTIR;SEM;AFM,No,0.93,0.28,3.321428571428571,90.57,90.34,Cross-flow,10,0.17,,,6.97,CP calculated assuming kf = 100,1.03,,354,51.98,,42,7
454,5% CTA/CA-RO,10.1002/pen.25517,Effect of cellulose acetate/cellulose triacetate ratio on reverse osmosis blend membrane performance,2020,Elkony,Asymmetric,,Cellulose acetate,,Synthesis: additives,,FTIR;SEM;AFM,No,0.88,0.66,1.3333333333333333,82.26,81.81,Cross-flow,10,0.17,,,6.32,CP calculated assuming kf = 100,1.03,,,53.5,,42,7
455,10% CTA/CA-RO,10.1002/pen.25517,Effect of cellulose acetate/cellulose triacetate ratio on reverse osmosis blend membrane performance,2020,Elkony,Asymmetric,,Cellulose acetate,,Synthesis: additives,,FTIR;SEM;AFM,No,1.17,3.44,0.34011627906976744,62.77,61.4,Cross-flow,10,0.17,,,4.76,CP calculated assuming kf = 100,1.06,,,53.4,,42,7
456,0.1% N-IPAAm CTA/CA,10.1002/pen.25517,Effect of cellulose acetate/cellulose triacetate ratio on reverse osmosis blend membrane performance,2020,Elkony,Asymmetric,,Cellulose acetate,,Synthesis: additives;Post-treatment: surface,,FTIR;SEM;AFM,No,1.48,0.07,21.142857142857142,98.01,97.95,Cross-flow,10,0.17,,,7.55,CP calculated assuming kf = 100,1.03,,145,47.6,,42,7
457,0.1:0.013 N-IPAAm/MBAAm CTA/CA,10.1002/pen.25517,Effect of cellulose acetate/cellulose triacetate ratio on reverse osmosis blend membrane performance,2020,Elkony,Asymmetric,,Cellulose acetate,,Synthesis: additives;Post-treatment: surface,,FTIR;SEM;AFM,No,1.5,0.41,3.658536585365854,90.84,90.49,Cross-flow,10,0.17,,,6.99,CP calculated assuming kf = 100,1.04,,108,43.8,,42,7
458,A.1,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.59,35.04,0.10245433789954338,65.52,49.4,Cross-flow,20,0.0342,,,0.75,CP calculated assuming kf = 100,1.47,,,,,,6.5
459,A.2,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.63,39.39,0.09215536938309216,63.16,46.6,Cross-flow,20,0.0342,,,0.71,CP calculated assuming kf = 100,1.45,,,,,,6.5
460,A.3,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.63,42.93,0.08455625436757512,61.24,44.5,Cross-flow,20,0.0342,,,0.68,CP calculated assuming kf = 100,1.43,,,,,,6.5
461,A.4,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.61,38.53,0.09369322605761743,63.53,47.1,Cross-flow,20,0.0342,,,0.72,CP calculated assuming kf = 100,1.45,,,,,,6.5
462,A.5,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.5,25.7,0.13618677042801558,71.42,56.8,Cross-flow,20,0.0342,,,0.86,CP calculated assuming kf = 100,1.51,,,,,,6.5
463,A.6,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.55,29.68,0.11960916442048516,68.79,53.4,Cross-flow,20,0.0342,,,0.81,CP calculated assuming kf = 100,1.49,,,,,,6.5
464,A.7,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.55,27.35,0.12979890310786105,70.46,55.4,Cross-flow,20,0.0342,,,0.84,CP calculated assuming kf = 100,1.51,,,,,,6.5
465,A.8,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,3.46,23.16,0.14939550949913644,73.21,59.2,Cross-flow,20,0.0342,,,0.9,CP calculated assuming kf = 100,1.52,,,,,,6.5
466,A.9,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,2.45,18.92,0.12949260042283298,70.61,60.4,Cross-flow,20,0.0342,,,0.92,CP calculated assuming kf = 100,1.35,,,,,,6.5
467,A.10,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,2.44,17.78,0.1372328458942632,71.77,61.8,Cross-flow,20,0.0342,,,0.94,CP calculated assuming kf = 100,1.35,,,,,,6.5
468,A.11,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,2.31,16.09,0.14356743318831572,72.64,63.4,Cross-flow,20,0.0342,,,0.96,CP calculated assuming kf = 100,1.34,,,,,,6.5
469,A.12,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: monomers,,,No,2.43,17.6,0.1380681818181818,71.91,62,Cross-flow,20,0.0342,,,0.94,CP calculated assuming kf = 100,1.35,,,,,,6.5
470,B.1,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,3.43,27.38,0.1252739225712199,69.79,55.1,Cross-flow,20,0.0342,,,0.84,CP calculated assuming kf = 100,1.49,,,,,,6.5
471,B.2,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,3.53,28.91,0.1221030785195434,69.22,54,Cross-flow,20,0.0342,,,0.82,CP calculated assuming kf = 100,1.49,,,,,,6.5
472,B.3,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,3.58,32.41,0.11045973464979945,67.12,51.3,Cross-flow,20,0.0342,,,0.78,CP calculated assuming kf = 100,1.48,,,,,,6.5
473,B.4,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,3.44,30.83,0.11157963023029517,67.35,52.2,Cross-flow,20,0.0342,,,0.79,CP calculated assuming kf = 100,1.46,,,,,,6.5
474,B.5,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,2.23,17.68,0.126131221719457,70.15,60.8,Cross-flow,20,0.0342,,,0.92,CP calculated assuming kf = 100,1.31,,,,,,6.5
475,B.6,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,2.2,14.09,0.156139105748758,74.31,65.8,Cross-flow,20,0.0342,,,1,CP calculated assuming kf = 100,1.33,,,,,,6.5
476,B.7,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,2.28,18.72,0.12179487179487179,69.35,59.7,Cross-flow,20,0.0342,,,0.91,CP calculated assuming kf = 100,1.31,,,,,,6.5
477,B.8,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,2.28,16.7,0.13652694610778443,71.7,62.4,Cross-flow,20,0.0342,,,0.95,CP calculated assuming kf = 100,1.33,,,,,,6.5
478,B.9,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,1.85,7.19,0.2573018080667594,82.55,77.1,Cross-flow,20,0.0342,,,1.17,CP calculated assuming kf = 100,1.31,,,,,,6.5
479,B.10,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,1.73,5.21,0.33205374280230326,85.89,81.6,Cross-flow,20,0.0342,,,1.24,CP calculated assuming kf = 100,1.31,,,,,,6.5
480,B.11,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,1.87,7.95,0.23522012578616353,81.21,75.4,Cross-flow,20,0.0342,,,1.15,CP calculated assuming kf = 100,1.31,,,,,,6.5
481,B.12,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Synthesis: solvent,,,No,1.82,6.71,0.27123695976154993,83.28,78.1,Cross-flow,20,0.0342,,,1.19,CP calculated assuming kf = 100,1.31,,,,,,6.5
482,C.1,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Other,Post-treatment: curing time,,No,2.83,27.16,0.10419734904270987,66.01,53.4,Cross-flow,20,0.0342,,,0.81,CP calculated assuming kf = 100,1.37,,,,,,6.5
483,C.2,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Other,Post-treatment: curing time,,No,2.96,35.64,0.08305274971941638,60.89,47.2,Cross-flow,20,0.0342,,,0.72,CP calculated assuming kf = 100,1.35,,,,,,6.5
484,C.3,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Other,,,No,2.9,30.26,0.09583608724388631,64.13,51,Cross-flow,20,0.0342,,,0.78,CP calculated assuming kf = 100,1.37,,,,,,6.5
485,C.4,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Other,Post-treatment: curing time,,No,2.94,33.84,0.08687943262411346,61.93,48.4,Cross-flow,20,0.0342,,,0.74,CP calculated assuming kf = 100,1.36,,,,,,6.5
486,C.6,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Other,Post-treatment: curing time,,No,1.81,6.22,0.29099678456591643,84.23,79.3,Cross-flow,20,0.0342,,,1.21,CP calculated assuming kf = 100,1.31,,,,,,6.5
487,C.5,10.1002/app.1993.070500611,Poly( vinyl alcohol) Gel Sublayers for Reverse Osmosis Membranes. 1. lnsolubilization by Acid-Catalyzed Dehydration,1993,Immelman,Polymeric TFC,,Polyvinylalcohol,,Other,,,No,1.86,7.64,0.243455497382199,81.77,76.1,Cross-flow,20,0.0342,,,1.16,CP calculated assuming kf = 100,1.31,,,,,,6.5
